--- 2025-10-13_07-00-02 ---
sfang6 3.53278GB
root 0.62854GB
gdm 0.183773GB
pcp 0.0350838GB
kbae2 0.0347519GB
polkitd 0.0256119GB
dbus 0.00482178GB
avahi 0.00373077GB
chrony 0.00272369GB
daemon 0.00256348GB
rtkit 0.00235748GB
rpc 0.00217438GB
dnsmasq 0.00174332GB
libstor+ 0.00166321GB
colord 0.00154114GB

